vet_name,rating,num_rating,sign_in_time,aquatic,bird,cattle,exotic,pet,reptile,is_new,weighted_score,score,newcomer_status,specialties
vet_951f2d0e57514f19bcf82e177410901f,2.8,115.00000000000001,2024-06-16 06:58:21.221,1,0,1,0,0,1,1,1000000.4627889447,1000005.94,NEWCOMER,"aquatic, cattle, reptile"
vet_5b7f9a13b0184ee297e45dc0e65a355d,4.7,186.0,2024-06-20 08:24:50.882,1,0,0,0,0,0,1,1000000.9259673366,1000005.1,NEWCOMER,aquatic
vet_66f453c1fee04c76a2057d9061d56478,4.1,47.0,2024-06-13 02:33:36.512,1,0,0,0,1,1,1,1000000.7211180904,1000005.06,NEWCOMER,"aquatic, pet, reptile"
vet_48359eb969cd435ebb07ac77a084e53e,3.4,97.0,2024-06-12 23:44:59.784,1,0,1,0,1,1,1,1000000.5887437186,1000005.0,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_f24688218c724607bda4daaf16ff3b06,4.0,93.0,2024-06-17 11:19:07.101,1,0,0,0,0,0,1,1000000.7217336684,1000004.6,NEWCOMER,aquatic
vet_7ef9ac6a12e74d3fa1194fbc17fcbf27,4.7,80.0,2024-06-15 22:08:31.594,1,1,1,1,0,1,1,1000000.8727010051,1000004.56,NEWCOMER,"aquatic, bird, cattle, exotic, reptile"
vet_4bdebd71c44a45e1b1afd667f4f1c554,3.8,141.0,2024-06-19 17:46:12.940,1,1,1,0,1,1,1,1000000.7008542713,1000004.3,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_502ebba233a148eb9b2889fd43817aa8,3.3,3.0,2024-06-12 22:07:31.406,1,0,0,0,1,1,1,1000000.5190075376,1000004.3,NEWCOMER,"aquatic, pet, reptile"
vet_9c8a5b90c8da4453ab75b5a5f8cd80fa,4.3,71.0,2024-06-16 13:24:02.579,1,1,0,0,0,0,1,1000000.778178392,1000004.1,NEWCOMER,"aquatic, bird"
vet_72b3ecb73bf445559990e77fefdf7c8b,3.0,9.0,2024-06-15 03:29:38.488,1,0,0,0,1,1,1,1000000.4545226131,1000003.94,NEWCOMER,"aquatic, pet, reptile"
vet_fb85e75e913b4819ac82c4ee9b109b53,3.3,159.0,2024-06-13 06:20:14.702,1,1,1,0,1,1,1,1000000.5973994975,1000003.8,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_4a528ec562a5411a8916ee1f88a63557,4.6,51.0,2024-06-13 12:04:02.460,1,1,1,0,1,0,1,1000000.8356281407,1000003.75,NEWCOMER,"aquatic, bird, cattle, pet"
vet_67e75cb03cb543d39d19837b35856853,4.9,51.0,2024-06-16 02:18:18.912,1,1,1,1,1,1,1,1000000.9031281407,1000003.25,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_09f354136b3e4160b08d116970d5cea5,1.9,109.0,2024-06-16 21:13:39.605,1,0,1,0,1,1,1,1000000.2572738694,1000003.25,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_e16ddf88e4484592a575df8d29aaef22,4.8,18.0,2024-06-18 07:28:22.721,1,1,1,1,0,0,1,1000000.8640452261,1000003.1,NEWCOMER,"aquatic, bird, cattle, exotic"
vet_cfd2b4fffd8549c3b5f95c306b571a17,1.9,145.0,2024-06-13 04:43:38.702,1,0,1,0,0,0,1,1000000.2753643217,1000002.94,NEWCOMER,"aquatic, cattle"
vet_bc9a60ed5d614136881df41253dca7e9,1.3,60.00000000000001,2024-06-16 05:36:07.677,1,0,1,0,1,1,1,1000000.0976507538,1000002.8,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_7c5f4d4de42846ba83d5d73f019f0d08,4.3,172.0,2024-06-13 09:35:08.698,1,0,1,1,0,0,1,1000000.8289321609,1000002.8,NEWCOMER,"aquatic, cattle, exotic"
vet_b142670db2284a34a87651bf257096b7,4.7,156.0,2024-06-16 11:05:31.788,1,1,1,1,1,1,1,1000000.9108919598,1000002.75,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_0ec173e0474549aea35b2fb2d0a4d572,2.2,149.0,2024-06-20 00:45:35.761,1,0,0,0,1,1,1,1000000.3448743719,1000002.6,NEWCOMER,"aquatic, pet, reptile"
vet_e7c0882a378e4f1db0def662237e9bbb,4.9,189.0,2024-06-17 18:20:54.165,1,0,0,1,0,0,1,1000000.9724748743,1000002.6,NEWCOMER,"aquatic, exotic"
vet_5d61cd3728b94dd9a06d8defe4a1dafc,2.4,198.0,2024-06-17 06:32:26.189,1,0,0,0,0,0,1,1000000.4144974875,1000002.44,NEWCOMER,aquatic
vet_e496938ca0dc4bff9ad1aae176b830a6,2.8,109.0,2024-06-13 08:59:38.436,1,1,1,1,0,1,1,1000000.4597738694,1000002.4,NEWCOMER,"aquatic, bird, cattle, exotic, reptile"
vet_4e3ef2957d0e4155aa2078eb356634f3,4.3,127.0,2024-06-17 10:45:10.624,1,1,1,1,1,1,1,1000000.8063190954,1000002.3,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_a0b092b8501b45a1a3f02a4c0ff640bb,1.6,43.0,2024-06-13 19:13:28.801,1,1,1,0,1,1,1,1000000.1566080402,1000002.25,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_97eb1a06b0b0488daf87df3f97342f4b,4.0,110.00000000000001,2024-06-18 03:10:09.259,1,1,1,1,1,1,1,1000000.730276382,1000002.06,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_07285adb8c074ae79f9d1fac14cb3fea,3.8,59.0,2024-06-14 23:29:13.826,1,1,1,1,1,1,1,1000000.6596482412,1000002.0,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_0de3f8b505cd47c2b2d16840e7dc533a,1.0,183.0,2024-06-18 10:03:05.418,1,0,1,0,1,1,1,1000000.0919597989,1000002.0,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_9f79ca9d02d44df2b45dbba48cd72038,3.8,30.000000000000004,2024-06-17 11:44:20.875,1,0,0,1,0,0,1,1000000.6450753768,1000001.94,NEWCOMER,"aquatic, exotic"
vet_5fd9d6f2703a4b2e9220fb17e94f51fc,3.6,31.0,2024-06-14 18:11:37.874,1,1,1,1,1,1,1,1000000.6005778895,1000001.9,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_4a0592fbbb294b58b1229c903af45696,3.8,75.0,2024-06-14 18:36:33.925,1,1,0,0,1,0,1,1000000.6676884422,1000001.9,NEWCOMER,"aquatic, bird, pet"
