vet_name,rating,num_rating,sign_in_time,aquatic,bird,cattle,exotic,pet,reptile,is_new,weighted_score,score,newcomer_status,specialties
vet_adeb1593900a4622a4c7fc35075536c3,4.0,8.0,2024-06-20 13:46:01.632,0,1,1,0,1,1,1,1000000.6790201005,1000006.56,NEWCOMER,"bird, cattle, pet, reptile"
vet_1c938d41950348afa7057d2eebff7baa,4.9,154.0,2024-06-19 15:50:42.490,0,1,0,0,1,1,1,1000000.9548869347,1000006.2,NEWCOMER,"bird, pet, reptile"
vet_8511f89655ef4186aab670a7392c676b,4.4,38.0,2024-06-19 11:05:57.896,0,1,0,0,1,1,1,1000000.7840954774,1000006.06,NEWCOMER,"bird, pet, reptile"
vet_70e1f9976055422c9919f2dbba1cd724,4.6,123.0,2024-06-18 17:52:43.900,0,1,0,0,0,0,1,1000000.8718090452,1000005.75,NEWCOMER,bird
vet_f48fb415b033414d9812bbc3d223ad04,3.1,24.999999999999996,2024-06-14 18:14:39.698,0,1,1,0,1,1,1,1000000.4850628141,1000005.5,NEWCOMER,"bird, cattle, pet, reptile"
vet_a8779053b8b24769b2358a60378eee04,3.2,23.0,2024-06-16 07:20:55.548,0,1,1,1,0,1,1,1000000.5065577889,1000004.6,NEWCOMER,"bird, cattle, exotic, reptile"
vet_7ef9ac6a12e74d3fa1194fbc17fcbf27,4.7,80.0,2024-06-15 22:08:31.594,1,1,1,1,0,1,1,1000000.8727010051,1000004.56,NEWCOMER,"aquatic, bird, cattle, exotic, reptile"
vet_c3f4c5d928af42bfbbbe701450731b18,4.9,107.0,2024-06-20 16:37:22.249,0,1,0,0,1,0,1,1000000.9312688442,1000004.4,NEWCOMER,"bird, pet"
vet_4bdebd71c44a45e1b1afd667f4f1c554,3.8,141.0,2024-06-19 17:46:12.940,1,1,1,0,1,1,1,1000000.7008542713,1000004.3,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_9c8a5b90c8da4453ab75b5a5f8cd80fa,4.3,71.0,2024-06-16 13:24:02.579,1,1,0,0,0,0,1,1000000.778178392,1000004.1,NEWCOMER,"aquatic, bird"
vet_928302a7e4864099927ade41233918e2,4.9,76.0,2024-06-16 02:47:05.580,0,1,0,1,1,1,1,1000000.9156909548,1000003.8,NEWCOMER,"bird, exotic, pet, reptile"
vet_fb85e75e913b4819ac82c4ee9b109b53,3.3,159.0,2024-06-13 06:20:14.702,1,1,1,0,1,1,1,1000000.5973994975,1000003.8,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_4a528ec562a5411a8916ee1f88a63557,4.6,51.0,2024-06-13 12:04:02.460,1,1,1,0,1,0,1,1000000.8356281407,1000003.75,NEWCOMER,"aquatic, bird, cattle, pet"
vet_a43172ec887046c2bf1ed9a7dd6e8293,4.8,62.0,2024-06-15 01:33:38.298,0,1,0,1,1,1,1,1000000.8861557789,1000003.7,NEWCOMER,"bird, exotic, pet, reptile"
vet_47b555ff6da0494bbeae0d94ec70482f,4.0,52.0,2024-06-19 21:23:42.270,0,1,1,1,1,1,1,1000000.7011306533,1000003.6,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_a768866e0bd84c55b1c3be39ba812653,2.4,98.0,2024-06-13 00:09:38.449,0,1,0,0,0,0,1,1000000.3642462312,1000003.3,NEWCOMER,bird
vet_17fc37549c0b43f293298a3e1238dba2,3.6,21.0,2024-06-18 03:24:22.824,0,1,0,0,1,0,1,1000000.5955527638,1000003.25,NEWCOMER,"bird, pet"
