vet_name,rating,num_rating,sign_in_time,aquatic,bird,cattle,exotic,pet,reptile,is_new,weighted_score,score,newcomer_status,specialties
vet_bd5f4c6c34504b26ab2f5bb03c9c3a19,4.6,10.0,2024-06-12 21:40:17.809,0,0,1,0,0,0,1,1000000.8150251256,1000007.9,NEWCOMER,cattle
vet_87086cbfc85d4b98849c3f521a706934,4.4,48.0,2024-06-20 14:21:03.483,0,0,1,0,0,0,1,1000000.789120603,1000007.6,NEWCOMER,cattle
vet_35d868c5a13c4a48bef7ef3926adbc7c,3.9,76.0,2024-06-20 18:30:26.494,0,0,1,0,0,0,1,1000000.6906909548,1000006.9,NEWCOMER,cattle
vet_ca0ce9ab82204e7ba96379786759773e,4.1,176.0,2024-06-13 19:01:47.593,0,0,1,0,1,1,1,1000000.785942211,1000006.9,NEWCOMER,"cattle, pet, reptile"
vet_adeb1593900a4622a4c7fc35075536c3,4.0,8.0,2024-06-20 13:46:01.632,0,1,1,0,1,1,1,1000000.6790201005,1000006.56,NEWCOMER,"bird, cattle, pet, reptile"
vet_a54e1d45c9ce4ec7abb4ffaa7aced02a,4.0,165.0,2024-06-18 22:34:22.886,0,0,1,1,0,1,1,1000000.7579145728,1000005.94,NEWCOMER,"cattle, exotic, reptile"
vet_951f2d0e57514f19bcf82e177410901f,2.8,115.00000000000001,2024-06-16 06:58:21.221,1,0,1,0,0,1,1,1000000.4627889447,1000005.9,NEWCOMER,"aquatic, cattle, reptile"
vet_f48fb415b033414d9812bbc3d223ad04,3.1,24.999999999999996,2024-06-14 18:14:39.698,0,1,1,0,1,1,1,1000000.4850628141,1000005.5,NEWCOMER,"bird, cattle, pet, reptile"
vet_87d61481d95e4209be5cf01a486e24f0,5.0,140.0,2024-06-19 21:34:42.080,0,0,1,1,1,1,1,1000000.9703517588,1000005.44,NEWCOMER,"cattle, exotic, pet, reptile"
vet_48359eb969cd435ebb07ac77a084e53e,3.4,97.0,2024-06-12 23:44:59.784,1,0,1,0,1,1,1,1000000.5887437186,1000005.0,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_d40cfa1de5c4456c8733a17220e0e02f,4.5,115.00000000000001,2024-06-13 05:05:18.299,0,0,1,1,1,1,1,1000000.8452889448,1000004.94,NEWCOMER,"cattle, exotic, pet, reptile"
vet_a8779053b8b24769b2358a60378eee04,3.2,23.0,2024-06-16 07:20:55.548,0,1,1,1,0,1,1,1000000.5065577889,1000004.6,NEWCOMER,"bird, cattle, exotic, reptile"
vet_7ef9ac6a12e74d3fa1194fbc17fcbf27,4.7,80.0,2024-06-15 22:08:31.594,1,1,1,1,0,1,1,1000000.8727010051,1000004.56,NEWCOMER,"aquatic, bird, cattle, exotic, reptile"
vet_85c91a56b0644b93b5bc4ae6139c9766,1.9,163.0,2024-06-13 03:22:08.480,0,0,1,0,0,0,1,1000000.2844095477,1000004.44,NEWCOMER,cattle
vet_4bdebd71c44a45e1b1afd667f4f1c554,3.8,141.0,2024-06-19 17:46:12.940,1,1,1,0,1,1,1,1000000.7008542713,1000004.3,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_2d385fd3489d48a487e4738c50d68019,3.5,35.0,2024-06-16 02:33:16.893,0,0,1,1,1,1,1,1000000.5800879397,1000004.2,NEWCOMER,"cattle, exotic, pet, reptile"
vet_7ff88f6a9e324c7e8c3ed8fc2e5a6e96,4.0,139.0,2024-06-16 03:37:36.967,0,0,1,1,0,0,1,1000000.7448492462,1000004.0,NEWCOMER,"cattle, exotic"
vet_f183a6377a4f405c92bfe9fd3843526b,1.4,125.99999999999999,2024-06-20 13:53:34.951,0,0,1,0,0,0,1,1000000.1533165829,1000003.9,NEWCOMER,cattle
vet_fb85e75e913b4819ac82c4ee9b109b53,3.3,159.0,2024-06-13 06:20:14.702,1,1,1,0,1,1,1,1000000.5973994975,1000003.8,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_4a528ec562a5411a8916ee1f88a63557,4.6,51.0,2024-06-13 12:04:02.460,1,1,1,0,1,0,1,1000000.8356281407,1000003.75,NEWCOMER,"aquatic, bird, cattle, pet"
vet_47b555ff6da0494bbeae0d94ec70482f,4.0,52.0,2024-06-19 21:23:42.270,0,1,1,1,1,1,1,1000000.7011306533,1000003.6,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_5b574de0ee0544cdaa5f802bd417919f,3.0,34.0,2024-06-17 17:38:55.710,0,0,1,1,0,0,1,1000000.4670854271,1000003.4,NEWCOMER,"cattle, exotic"
vet_67e75cb03cb543d39d19837b35856853,4.9,51.0,2024-06-16 02:18:18.912,1,1,1,1,1,1,1,1000000.9031281407,1000003.25,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_09f354136b3e4160b08d116970d5cea5,1.9,109.0,2024-06-16 21:13:39.605,1,0,1,0,1,1,1,1000000.2572738694,1000003.25,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_e16ddf88e4484592a575df8d29aaef22,4.8,18.0,2024-06-18 07:28:22.721,1,1,1,1,0,0,1,1000000.8640452261,1000003.1,NEWCOMER,"aquatic, bird, cattle, exotic"
vet_ea7d547741914a238013cefb960166af,3.8,174.0,2024-06-12 20:34:08.777,0,1,1,1,1,1,1,1000000.7174371859,1000003.06,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_cfd2b4fffd8549c3b5f95c306b571a17,1.9,145.0,2024-06-13 04:43:38.702,1,0,1,0,0,0,1,1000000.2753643217,1000002.94,NEWCOMER,"aquatic, cattle"
vet_7c5f4d4de42846ba83d5d73f019f0d08,4.3,172.0,2024-06-13 09:35:08.698,1,0,1,1,0,0,1,1000000.8289321609,1000002.8,NEWCOMER,"aquatic, cattle, exotic"
vet_bc9a60ed5d614136881df41253dca7e9,1.3,60.00000000000001,2024-06-16 05:36:07.677,1,0,1,0,1,1,1,1000000.0976507538,1000002.8,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_b142670db2284a34a87651bf257096b7,4.7,156.0,2024-06-16 11:05:31.788,1,1,1,1,1,1,1,1000000.9108919598,1000002.75,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_91add651300f4896ae24da2776456716,3.0,18.0,2024-06-13 21:25:50.795,0,1,1,1,1,1,1,1000000.4590452261,1000002.75,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_821a4717b2cb45ff9c846373e18f899a,2.0,2.0,2024-06-14 20:02:35.965,0,0,1,1,0,0,1,1000000.2260050251,1000002.4,NEWCOMER,"cattle, exotic"
vet_e496938ca0dc4bff9ad1aae176b830a6,2.8,109.0,2024-06-13 08:59:38.436,1,1,1,1,0,1,1,1000000.4597738694,1000002.4,NEWCOMER,"aquatic, bird, cattle, exotic, reptile"
vet_abb82517a8464823b50c6e6d8cb1cad6,2.6,5.0,2024-06-19 08:44:02.969,0,1,1,1,1,1,1,1000000.3625125628,1000002.4,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_4e3ef2957d0e4155aa2078eb356634f3,4.3,127.0,2024-06-17 10:45:10.624,1,1,1,1,1,1,1,1000000.8063190954,1000002.3,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_a0b092b8501b45a1a3f02a4c0ff640bb,1.6,43.0,2024-06-13 19:13:28.801,1,1,1,0,1,1,1,1000000.1566080402,1000002.25,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_1efdc2c6bfa84952a96cb7fc949825fa,2.9,110.00000000000001,2024-06-15 08:28:49.975,0,1,1,1,1,1,1,1000000.4827763819,1000002.25,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_8ef0416bcef842298d113836cb2c4dfb,2.6,33.0,2024-06-16 09:24:50.180,0,1,1,1,1,1,1,1000000.3765829146,1000002.1,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_97eb1a06b0b0488daf87df3f97342f4b,4.0,110.00000000000001,2024-06-18 03:10:09.259,1,1,1,1,1,1,1,1000000.730276382,1000002.06,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_0de3f8b505cd47c2b2d16840e7dc533a,1.0,183.0,2024-06-18 10:03:05.418,1,0,1,0,1,1,1,1000000.0919597989,1000002.06,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_07285adb8c074ae79f9d1fac14cb3fea,3.8,59.0,2024-06-14 23:29:13.826,1,1,1,1,1,1,1,1000000.6596482412,1000002.0,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
