vet_name,rating,num_rating,sign_in_time,aquatic,bird,cattle,exotic,pet,reptile,is_new,weighted_score,score,newcomer_status,specialties
vet_3fd192bd997340fc957aea23e898d66a,4.9,10.0,2024-06-13 14:54:57.844,0,0,0,0,1,1,1,1000000.8825251256,1000007.56,NEWCOMER,"pet, reptile"
vet_ca0ce9ab82204e7ba96379786759773e,4.1,176.0,2024-06-13 19:01:47.593,0,0,1,0,1,1,1,1000000.785942211,1000006.9,NEWCOMER,"cattle, pet, reptile"
vet_adeb1593900a4622a4c7fc35075536c3,4.0,8.0,2024-06-20 13:46:01.632,0,1,1,0,1,1,1,1000000.6790201005,1000006.56,NEWCOMER,"bird, cattle, pet, reptile"
vet_1c938d41950348afa7057d2eebff7baa,4.9,154.0,2024-06-19 15:50:42.490,0,1,0,0,1,1,1,1000000.9548869347,1000006.2,NEWCOMER,"bird, pet, reptile"
vet_8511f89655ef4186aab670a7392c676b,4.4,38.0,2024-06-19 11:05:57.896,0,1,0,0,1,1,1,1000000.7840954774,1000006.06,NEWCOMER,"bird, pet, reptile"
vet_b858bab550e44fd5a72f6815d9cfb998,3.3,2.0,2024-06-20 10:00:45.160,0,0,0,0,1,1,1,1000000.5185050251,1000005.94,NEWCOMER,"pet, reptile"
vet_41e57a1d776446a1ae13b97097337bac,3.4,54.0,2024-06-20 07:38:27.090,0,0,0,0,1,1,1,1000000.5671356784,1000005.75,NEWCOMER,"pet, reptile"
vet_13850fb45fec4f94a8d776792d9b78bc,3.4,82.0,2024-06-13 03:37:45.705,0,0,0,0,1,1,1,1000000.5812060301,1000005.6,NEWCOMER,"pet, reptile"
vet_f48fb415b033414d9812bbc3d223ad04,3.1,24.999999999999996,2024-06-14 18:14:39.698,0,1,1,0,1,1,1,1000000.4850628141,1000005.5,NEWCOMER,"bird, cattle, pet, reptile"
vet_87d61481d95e4209be5cf01a486e24f0,5.0,140.0,2024-06-19 21:34:42.080,0,0,1,1,1,1,1,1000000.9703517588,1000005.44,NEWCOMER,"cattle, exotic, pet, reptile"
vet_e391dd2401a0497abd6fefb42c706414,3.0,51.0,2024-06-18 19:26:19.235,0,0,0,0,1,1,1,1000000.4756281407,1000005.3,NEWCOMER,"pet, reptile"
vet_66f453c1fee04c76a2057d9061d56478,4.1,47.0,2024-06-13 02:33:36.512,1,0,0,0,1,1,1,1000000.7211180904,1000005.06,NEWCOMER,"aquatic, pet, reptile"
vet_48359eb969cd435ebb07ac77a084e53e,3.4,97.0,2024-06-12 23:44:59.784,1,0,1,0,1,1,1,1000000.5887437186,1000005.0,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_d40cfa1de5c4456c8733a17220e0e02f,4.5,115.00000000000001,2024-06-13 05:05:18.299,0,0,1,1,1,1,1,1000000.8452889448,1000004.94,NEWCOMER,"cattle, exotic, pet, reptile"
vet_9c9374ff3041478b93f38c05724182de,4.8,35.0,2024-06-14 04:00:14.163,0,0,0,1,1,1,1,1000000.8725879397,1000004.7,NEWCOMER,"exotic, pet, reptile"
vet_2cf0c7622b6a4320a7944bf95d29f877,2.2,24.0,2024-06-16 16:40:46.742,0,0,0,0,1,1,1,1000000.2820603015,1000004.6,NEWCOMER,"pet, reptile"
vet_c3f4c5d928af42bfbbbe701450731b18,4.9,107.0,2024-06-20 16:37:22.249,0,1,0,0,1,0,1,1000000.9312688442,1000004.5,NEWCOMER,"bird, pet"
vet_0189f0d905dd4f1e92c21717f58b5fdc,2.0,3.0,2024-06-14 11:21:00.700,0,0,0,0,1,1,1,1000000.2265075376,1000004.44,NEWCOMER,"pet, reptile"
vet_502ebba233a148eb9b2889fd43817aa8,3.3,3.0,2024-06-12 22:07:31.406,1,0,0,0,1,1,1,1000000.5190075376,1000004.3,NEWCOMER,"aquatic, pet, reptile"
vet_4bdebd71c44a45e1b1afd667f4f1c554,3.8,141.0,2024-06-19 17:46:12.940,1,1,1,0,1,1,1,1000000.7008542713,1000004.3,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_c6e0d0fb3514498fa71572507b14b992,2.2,93.0,2024-06-19 11:03:45.743,0,0,0,0,1,1,1,1000000.3167336683,1000004.25,NEWCOMER,"pet, reptile"
vet_2d385fd3489d48a487e4738c50d68019,3.5,35.0,2024-06-16 02:33:16.893,0,0,1,1,1,1,1,1000000.5800879397,1000004.2,NEWCOMER,"cattle, exotic, pet, reptile"
vet_72b3ecb73bf445559990e77fefdf7c8b,3.0,9.0,2024-06-15 03:29:38.488,1,0,0,0,1,1,1,1000000.4545226131,1000003.94,NEWCOMER,"aquatic, pet, reptile"
vet_fb85e75e913b4819ac82c4ee9b109b53,3.3,159.0,2024-06-13 06:20:14.702,1,1,1,0,1,1,1,1000000.5973994975,1000003.8,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_928302a7e4864099927ade41233918e2,4.9,76.0,2024-06-16 02:47:05.580,0,1,0,1,1,1,1,1000000.9156909548,1000003.8,NEWCOMER,"bird, exotic, pet, reptile"
vet_a43172ec887046c2bf1ed9a7dd6e8293,4.8,62.0,2024-06-15 01:33:38.298,0,1,0,1,1,1,1,1000000.8861557789,1000003.7,NEWCOMER,"bird, exotic, pet, reptile"
vet_4a528ec562a5411a8916ee1f88a63557,4.6,51.0,2024-06-13 12:04:02.460,1,1,1,0,1,0,1,1000000.8356281407,1000003.7,NEWCOMER,"aquatic, bird, cattle, pet"
vet_47b555ff6da0494bbeae0d94ec70482f,4.0,52.0,2024-06-19 21:23:42.270,0,1,1,1,1,1,1,1000000.7011306533,1000003.6,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_17fc37549c0b43f293298a3e1238dba2,3.6,21.0,2024-06-18 03:24:22.824,0,1,0,0,1,0,1,1000000.5955527638,1000003.25,NEWCOMER,"bird, pet"
vet_67e75cb03cb543d39d19837b35856853,4.9,51.0,2024-06-16 02:18:18.912,1,1,1,1,1,1,1,1000000.9031281407,1000003.25,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_09f354136b3e4160b08d116970d5cea5,1.9,109.0,2024-06-16 21:13:39.605,1,0,1,0,1,1,1,1000000.2572738694,1000003.25,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_ea7d547741914a238013cefb960166af,3.8,174.0,2024-06-12 20:34:08.777,0,1,1,1,1,1,1,1000000.7174371859,1000003.06,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_54059e23dd7049ec8448ee8708d3a03f,2.8,160.0,2024-06-13 22:13:48.481,0,0,0,0,1,0,1,1000000.48540201,1000002.8,NEWCOMER,pet
vet_bc9a60ed5d614136881df41253dca7e9,1.3,60.00000000000001,2024-06-16 05:36:07.677,1,0,1,0,1,1,1,1000000.0976507538,1000002.8,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_f66ca7bb8a264383a1283ad03daf7d0e,3.9,32.0,2024-06-17 14:00:15.509,0,1,0,1,1,1,1,1000000.668580402,1000002.75,NEWCOMER,"bird, exotic, pet, reptile"
vet_91add651300f4896ae24da2776456716,3.0,18.0,2024-06-13 21:25:50.795,0,1,1,1,1,1,1,1000000.4590452261,1000002.75,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_b142670db2284a34a87651bf257096b7,4.7,156.0,2024-06-16 11:05:31.788,1,1,1,1,1,1,1,1000000.9108919598,1000002.75,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_960bc1d47fbd419ea3efc29e9b2f02ba,3.3,115.00000000000001,2024-06-18 06:51:41.844,0,0,0,1,1,1,1,1000000.5752889448,1000002.75,NEWCOMER,"exotic, pet, reptile"
vet_0fb52602661c47d1a62c8c6975b3b270,3.5,169.0,2024-06-14 08:15:46.835,0,1,0,0,1,0,1,1000000.6474246231,1000002.7,NEWCOMER,"bird, pet"
vet_0ec173e0474549aea35b2fb2d0a4d572,2.2,149.0,2024-06-20 00:45:35.761,1,0,0,0,1,1,1,1000000.3448743719,1000002.6,NEWCOMER,"aquatic, pet, reptile"
vet_abb82517a8464823b50c6e6d8cb1cad6,2.6,5.0,2024-06-19 08:44:02.969,0,1,1,1,1,1,1,1000000.3625125628,1000002.4,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_4e3ef2957d0e4155aa2078eb356634f3,4.3,127.0,2024-06-17 10:45:10.624,1,1,1,1,1,1,1,1000000.8063190954,1000002.3,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_a354c6d8443548cf8f04dc1f34e1f14f,3.1,120.99999999999999,2024-06-19 03:49:43.910,0,1,0,0,1,0,1,1000000.5333040201,1000002.3,NEWCOMER,"bird, pet"
vet_101a511ca9ee4e42977d43294e88cd0d,1.3,122.0,2024-06-19 12:17:55.040,0,1,0,0,1,1,1,1000000.1288065327,1000002.25,NEWCOMER,"bird, pet, reptile"
vet_a0b092b8501b45a1a3f02a4c0ff640bb,1.6,43.0,2024-06-13 19:13:28.801,1,1,1,0,1,1,1,1000000.1566080402,1000002.25,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_1efdc2c6bfa84952a96cb7fc949825fa,2.9,110.00000000000001,2024-06-15 08:28:49.975,0,1,1,1,1,1,1,1000000.4827763819,1000002.25,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_8ef0416bcef842298d113836cb2c4dfb,2.6,33.0,2024-06-16 09:24:50.180,0,1,1,1,1,1,1,1000000.3765829146,1000002.1,NEWCOMER,"bird, cattle, exotic, pet, reptile"
vet_54ea87a0c3cc41fe93ce96d2e623dff4,1.2,158.0,2024-06-19 03:18:18.473,0,1,0,0,1,1,1,1000000.1243969849,1000002.06,NEWCOMER,"bird, pet, reptile"
vet_0de3f8b505cd47c2b2d16840e7dc533a,1.0,183.0,2024-06-18 10:03:05.418,1,0,1,0,1,1,1,1000000.0919597989,1000002.06,NEWCOMER,"aquatic, cattle, pet, reptile"
vet_97eb1a06b0b0488daf87df3f97342f4b,4.0,110.00000000000001,2024-06-18 03:10:09.259,1,1,1,1,1,1,1,1000000.730276382,1000002.06,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_07285adb8c074ae79f9d1fac14cb3fea,3.8,59.0,2024-06-14 23:29:13.826,1,1,1,1,1,1,1,1000000.6596482412,1000002.0,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_5fd9d6f2703a4b2e9220fb17e94f51fc,3.6,31.0,2024-06-14 18:11:37.874,1,1,1,1,1,1,1,1000000.6005778895,1000001.9,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_da9f95e231294c16bf75e45e9a6aa619,3.7,54.0,2024-06-15 19:31:35.276,1,1,1,1,1,1,1,1000000.6346356784,1000001.9,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_4a0592fbbb294b58b1229c903af45696,3.8,75.0,2024-06-14 18:36:33.925,1,1,0,0,1,0,1,1000000.6676884422,1000001.9,NEWCOMER,"aquatic, bird, pet"
vet_837cdef200e849fdb01ca363edb4f85b,1.6,192.0,2024-06-16 03:00:26.528,1,1,1,0,1,1,1,1000000.2314824121,1000001.8,NEWCOMER,"aquatic, bird, cattle, pet, reptile"
vet_923a33f2de484c1aa2be69f1367d0b00,4.0,157.0,2024-06-15 15:27:40.390,1,1,1,1,1,1,1,1000000.7538944724,1000001.75,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_b2a8fab604aa4aeebc789bd902704c84,3.3,159.0,2024-06-18 00:22:38.580,0,1,0,1,1,1,1,1000000.5973994975,1000001.7,NEWCOMER,"bird, exotic, pet, reptile"
vet_0daaf998273446e2983d3ae46808431f,3.8,191.0,2024-06-17 00:53:15.618,1,1,1,1,1,1,1,1000000.7259798995,1000001.56,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_52165cf4f70c44c2ad2898f263b26c57,3.2,22.0,2024-06-15 10:15:21.344,1,1,1,1,1,1,1,1000000.5060552764,1000001.5,NEWCOMER,"aquatic, bird, cattle, exotic, pet, reptile"
vet_158a6ddde99d4f74a7d5b4380e1e8c1a,2.3,192.0,2024-06-19 04:20:47.594,0,1,1,1,1,1,1,1000000.388982412,1000001.4,NEWCOMER,"bird, cattle, exotic, pet, reptile"
