vet_name,rating,num_rating,sign_in_time,aquatic,bird,cattle,exotic,pet,reptile,is_new,weighted_score,score,newcomer_status,specialties
vet_94c9753539dc441c9dde58ca1f341295,4.2,77.0,2024-06-18 18:25:04.204,0,0,0,0,0,1,1,1000000.7586934674,1000008.25,NEWCOMER,reptile
vet_6374fa53fe054006b926b5181b35da97,4.5,175.0,2024-06-15 00:31:27.629,0,0,0,0,0,1,1,1000000.8754396985,1000008.1,NEWCOMER,reptile
vet_f706bc07913b4f3daf0e9333564a9fbc,4.3,128.0,2024-06-15 18:54:40.699,0,0,0,0,0,1,1,1000000.806821608,1000008.1,NEWCOMER,reptile
vet_b530116a74fa4c56908d71a53ce225c6,4.2,129.0,2024-06-20 01:24:02.392,0,0,0,0,0,1,1,1000000.7848241206,1000008.0,NEWCOMER,reptile
vet_d49a678c7a54458588f5221c0a64c7e6,3.7,36.0,2024-06-15 04:20:57.174,0,0,0,0,0,1,1,1000000.6255904522,1000007.8,NEWCOMER,reptile
vet_3fd192bd997340fc957aea23e898d66a,4.9,10.0,2024-06-13 14:54:57.844,0,0,0,0,1,1,1,1000000.8825251256,1000007.56,NEWCOMER,"pet, reptile"
vet_09fcd38925354647ac4bcaf4546487ee,3.6,184.0,2024-06-15 17:52:43.436,0,0,0,0,0,1,1,1000000.6774623116,1000007.25,NEWCOMER,reptile
vet_ca0ce9ab82204e7ba96379786759773e,4.1,176.0,2024-06-13 19:01:47.593,0,0,1,0,1,1,1,1000000.785942211,1000006.9,NEWCOMER,"cattle, pet, reptile"
vet_c3a59e20e6cf4619af0fe3249a498ec6,3.1,127.0,2024-06-12 21:35:01.522,0,0,0,0,0,1,1,1000000.5363190955,1000006.8,NEWCOMER,reptile
vet_adeb1593900a4622a4c7fc35075536c3,4.0,8.0,2024-06-20 13:46:01.632,0,1,1,0,1,1,1,1000000.6790201005,1000006.56,NEWCOMER,"bird, cattle, pet, reptile"
vet_1c938d41950348afa7057d2eebff7baa,4.9,154.0,2024-06-19 15:50:42.490,0,1,0,0,1,1,1,1000000.9548869347,1000006.2,NEWCOMER,"bird, pet, reptile"
vet_8511f89655ef4186aab670a7392c676b,4.4,38.0,2024-06-19 11:05:57.896,0,1,0,0,1,1,1,1000000.7840954774,1000006.06,NEWCOMER,"bird, pet, reptile"
