vet_name,specialty,rating,num_rating,sign_in_time
vet_00008b4e6d174aaf8430009a37083a70,"reptile, pet",2.4,28,2024-05-23 19:39:02.439
vet_0023bcc47b754c429f789546865bd8c8,"pet, reptile, aquatic, cattle, bird, exotic",3.5,71,2024-05-25 01:08:56.30
vet_0047a947b4974f06870572927bee5445,reptile,4.6,199,2024-05-03 02:01:44.130
vet_005eaa23268e41d1b22cc738e1506462,"reptile, pet, bird, aquatic",1.7,96,2024-06-01 13:33:29.899
vet_00c1efca3e1a4d9eac865b43d30c4815,"reptile, pet",2.5,150,2024-05-02 09:02:42.112
vet_00d0b7f98ff54811888a6089362a48db,"cattle, aquatic",2.6,7,2024-05-27 13:26:54.427
vet_0189f0d905dd4f1e92c21717f58b5fdc,"pet, reptile",2.0,3,2024-06-14 11:21:00.70
vet_01956e4b752443beb4719ab85cd7a322,"pet, aquatic, reptile",4.8,56,2024-05-04 01:35:26.116
vet_01b96b23511f4bcaaef1c990cd1dfef9,"bird, aquatic",2.3,171,2024-05-07 05:01:53.174
vet_01d5bdceba2a4f8b99dc3101aa5b75c6,"pet, reptile",2.0,88,2024-05-29 17:47:15.303
vet_01df43066f1e469ea28cceab562ab035,"cattle, aquatic, exotic, bird",4.8,197,2024-06-09 00:31:37.999
vet_01e4c447f03d47869099f2d8159ba6cf,"aquatic, exotic, bird, pet, cattle, reptile",1.7,66,2024-05-18 05:48:35.398
vet_020b9ad4d34745ffb31415ed880b26c2,reptile,2.1,96,2024-06-18 06:35:27.97
vet_024fae6750e64ee493469692594d3266,"exotic, cattle, bird, pet, reptile",2.2,101,2024-05-25 07:27:29.138
vet_02da236c6e654b0980a11a632260d406,reptile,2.0,84,2024-05-27 21:51:51.104
vet_02fb3b065a094fd784f27906cf07acc6,"reptile, cattle, pet",4.7,0,2024-06-11 18:03:27.157
vet_0382141c92b74211a980c5e47e894da2,"reptile, pet",4.5,15,2024-06-06 01:30:29.614
vet_03a9b8dcde754fd8930170317829d175,"reptile, pet, aquatic, cattle, bird",4.5,131,2024-06-06 13:01:18.315
vet_03b92e8eefea4f09987661df430fdc7b,"pet, exotic, aquatic, reptile",3.9,72,2024-06-11 15:38:29.688
vet_0402ee5be00f4773a9622c1db7e39793,"pet, exotic",4.8,42,2024-05-16 07:14:04.459
vet_041f476845894450871c75cf575dfb47,"aquatic, reptile, bird, exotic",3.1,0,2024-05-05 14:15:56.428
vet_044e4d3c93ee44c3888b19e8cd7a8205,"pet, reptile, aquatic, exotic",4.0,143,2024-05-12 07:53:42.482
vet_053a7e41d2f64627a4d68895c25e52f9,"cattle, reptile, pet, exotic, bird, aquatic",1.4,52,2024-05-13 01:11:15.347
vet_0590b12ddfea49cd935faadc6d8cfa61,"pet, bird, exotic, reptile",1.9,172,2024-06-09 07:58:34.154
vet_066d0e98d1484a62bf90631998bd584f,"bird, pet, reptile, aquatic, cattle",4.2,76,2024-06-05 14:51:59.313
vet_067762e4946c470b9e967d806a3d46c7,"reptile, pet, bird, exotic",4.0,173,2024-05-24 04:31:39.327
vet_07285adb8c074ae79f9d1fac14cb3fea,"reptile, pet, bird, aquatic, exotic, cattle",3.8,59,2024-06-14 23:29:13.826
vet_0734a63933d348a2867fe738a6492985,exotic,3.4,123,2024-05-19 05:12:52.398
vet_075456c020d84ec0be82f512cd28328e,"exotic, reptile, aquatic",1.3,48,2024-05-25 13:10:15.482
vet_0861af330989469ba079dc5dd5c48d2c,"aquatic, cattle, exotic, bird",1.6,71,2024-05-23 20:44:18.223
vet_0861e371b5764510a7a12c02b9299dad,"bird, pet, aquatic, reptile, exotic, cattle",1.6,102,2024-06-12 00:35:45.30
vet_08e11a63b2da445ba0dd066507aced10,"reptile, exotic, aquatic, pet",3.7,84,2024-05-21 16:41:48.935
vet_090022fc21204da2b89b29e1394bd96f,"exotic, cattle, pet",3.4,140,2024-05-13 01:30:05.12
vet_09137a8b1c394a6bb55829c2f3d81d44,"pet, reptile, aquatic, cattle",1.4,64,2024-05-24 02:12:58.478
vet_092ceac5546e4954a710abafe23c456a,"pet, cattle, reptile, bird",4.5,41,2024-05-30 14:24:03.219
vet_09f354136b3e4160b08d116970d5cea5,"cattle, aquatic, reptile, pet",1.9,109,2024-06-16 21:13:39.605
vet_09f93c64556a464893a0089b701db305,"reptile, exotic",4.1,152,2024-05-01 11:23:00.655
vet_09fcd38925354647ac4bcaf4546487ee,reptile,3.6,184,2024-06-15 17:52:43.436
vet_0a2d26ae31f048e3bf85a93cc7e56bd7,"pet, bird, exotic",1.1,110,2024-05-31 12:42:24.210
vet_0a69f6674c69455a97923ec6723940f3,"exotic, pet, bird, aquatic, reptile, cattle",3.2,37,2024-05-04 10:37:36.523
vet_0a8baf5b3b5946109e6feed6083ecc2e,"bird, cattle, exotic, pet",2.5,112,2024-06-05 05:54:56.560
vet_0af1b12da0a5411587c2735c122944e8,"bird, exotic",2.3,138,2024-06-20 16:46:39.626
vet_0b14a5edd7334255b01cded5604a75d0,"aquatic, cattle, bird",2.0,128,2024-05-01 13:12:28.929
vet_0bb3d59035e14b5fa75f68c36f28218b,"bird, pet, reptile, exotic, aquatic, cattle",4.2,7,2024-05-10 09:55:26.932
vet_0c2e2069c81c406a8fe26d8265eb354b,"pet, reptile, exotic, cattle, bird, aquatic",2.6,53,2024-05-12 03:39:12.817
vet_0c440c95cc3f4caa9604b3d399976466,"exotic, bird",2.5,28,2024-05-19 19:52:44.839
vet_0c44f8c6cdc94960b22d4f7f1465064e,reptile,3.1,53,2024-05-26 09:51:38.494
vet_0c56d331a5f24ad0ba2257a3043bd0d0,pet,2.1,189,2024-05-07 03:38:40.461
vet_0c5e49826f9a4096bb03f6c85f00c75f,"aquatic, reptile, pet",3.1,131,2024-05-07 01:24:18.614
vet_0c6885e6da1a49d9b4876858d64967bc,"exotic, reptile, aquatic",2.1,47,2024-06-04 18:00:09.782
vet_0d11760382fe4e469ce4cc320726d631,"reptile, pet, cattle",4.7,178,2024-05-27 17:42:29.923
vet_0d3c510f931e4e599c022510101d7033,"bird, reptile, exotic, aquatic, pet, cattle",2.5,162,2024-06-13 13:10:38.34
vet_0d5d479eb9fa4b7e891b1d13855d1489,"cattle, pet, aquatic, bird, exotic",2.4,121,2024-05-18 20:36:42.277
vet_0daaf998273446e2983d3ae46808431f,"pet, exotic, aquatic, cattle, reptile, bird",3.8,191,2024-06-17 00:53:15.618
vet_0db62e775f2847afbbc8eb22bd7e85b8,"cattle, reptile, pet, exotic, aquatic",4.5,135,2024-05-20 13:52:01.697
